เลขทะเบียนนิติบุคคล,วันที่จดทะเบียนจัดตั้ง,ทุนจดทะเบียน,ประเภทธุรกิจตอนจดทะเบียน,รายได้รวม,กำไรสุทธิ,ค่ามัธยฐานของรายได้รวม,ค่ามัธยฐานของกำไรสุทธิ
,,,,,,,
605559000943,30-มิ.ย.-59,"1,000,000.00 บาท",การขายปลีกสินค้าอื่นๆในร้านค้าทั่วไป,31.02%,-14.25%,"1,504,834.90","15,384.09"
,,,,,,,
503548003562,28-มิ.ย.-48,"200,000.00 บาท",การผลิตเครื่องดื่มกาแฟ ชาและชาชงสมุนไพรพร้อมดื่ม,-54.80%,-2041.79%,"1,281,552.41","-5,000.00"
,,,,,,,
505554002892,18-พ.ค.-54,"120,000,000.00 บาท",การผลิตผลิตภัณฑ์อื่น ๆ ที่ได้จากการกลั่นปิโตรเลียมซึ่งมิได้ จัดประเภทไว้ในที่อื่น,21.01%,1.38%,"2,277,040,627.00","93,461,165.00"
,,,,,,,
515542000113,14-ก.ย.-42,"100,000,000.00 บาท",การผลิตอุปกรณ์ไฟฟ้าอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น การผลิตเครื่องจักรและเครื่องมือซึ่งมิได้จัดประเภทไว้ในที่อื่น,-2.03%,-36.58%,"913,337,869.00","36,103,793.44"
,,,,,,,
835521000103,8-มิ.ย.-21,"20,000,000.00 บาท",การผลิตน้ำมันพืชชนิดอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,-100.00%,-100.00%,"774,402.89","-3,650.00"
,,,,,,,
565539000175,18-ก.ย.-39,"5,000,000.00 บาท",การขายส่งวัตถุดิบอื่นๆทางการเกษตรซึ่งมิได้จัดประเภทไว้ในที่อื่น,-1.34%,-428.22%,"1,746,938.11","6,912.00"
,,,,,,,
515546000207,16-มิ.ย.-46,"10,000,000.00 บาท",การผลิตส่วนประกอบอิเล็กทรอนิกส์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,-100.00%,-100.00%,"6,506,307.04","69,720.38"
,,,,,,,
505551002107,26-พ.ค.-51,"20,000,000.00 บาท",การเลี้ยงโคนมและโคเนื้อ,-100.00%,-100.00%,"205,608.00","-5,000.00"
,,,,,,,
107537000513,8-ก.พ.-37,"381,145,725.00 บาท",การผลิตผลไม้และผักแช่แข็ง,-100.00%,-100.00%,"4,366,319.59","-12,810.00"
,,,,,,,
505535003561,2-พ.ย.-35,"44,500,000.00 บาท",การขายส่งผลิตภัณฑ์อาหารอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,17.00%,18.09%,"542,094,902.78","8,189,671.15"
,,,,,,,
105542021211,23-มี.ค.-42,"451,859,100.00 บาท",การผลิตและการส่งไฟฟ้า,-2.72%,-155.67%,"182,260,230.99","77,128,142.31"
,,,,,,,
515533000050,25-ม.ค.-33,"23,000,000.00 บาท",การผลิตเครื่องจักรอื่นๆที่ใช้ในการผลิตสิ่งทอเครื่องแต่งกาย และเครื่องหนัง,-17.95%,-56.70%,"998,428,808.36","22,122,170.84"
,,,,,,,
105551099228,2-ก.ย.-51,"7,500,000.00 บาท",การทำเหมืองสินแร่โลหะนอกกลุ่มสินแร่เหล็กอื่น ๆ ซึ่งมิได้จัด ประเภทไว้ในที่อื่น,-44.41%,-63.41%,"46,247.40","-9,526.00"
,,,,,,,
505544001770,11-มิ.ย.-44,"120,000,000.00 บาท",การผลิตกระดาษและกระดาษแข็ง,-100.00%,-100.00%,"5,907,939.51","16,204.62"
,,,,,,,
505560003374,9-มี.ค.-60,"1,000,000.00 บาท",กิจกรรมของบริษัทโฆษณา,75.98%,85.25%,"1,865,522.28","58,826.76"
,,,,,,,
505535003617,5-พ.ย.-35,"16,000,000.00 บาท",การผลิตน้ำดื่มบริสุทธิ์และน้ำแร่บรรจุขวด,-100.00%,-100.00%,"1,592,269.70","6,190.59"
,,,,,,,
605553000119,3-มี.ค.-53,"10,000,000.00 บาท",การเก็บรวบรวมของเสียที่เป็นอันตราย,-100.00%,-100.00%,"1,990,741.30","-10,568.00"
,,,,,,,
545556000251,8-ส.ค.-56,"480,000,000.00 บาท",การผลิตและการส่งไฟฟ้า,-18.22%,-52.03%,"182,260,230.99","77,128,142.31"
,,,,,,,
105555125266,24-ส.ค.-55,"5,590,000,000.00 บาท",การผลิตและการส่งไฟฟ้า,3.40%,5.56%,"2,109,900,802.00","373,702,057.00"
,,,,,,,
105531085183,28-ต.ค.-31,"380,000,000.00 บาท",การผลิตผลิตภัณฑ์วัสดุทนไฟ,-18.31%,-41.27%,"2,540,462,827.00","314,229,170.50"
,,,,,,,
575544000161,9-เม.ย.-44,"12,368,200.00 บาท",การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,-100.00%,-100.00%,"834,759.16","-4,480.42"
,,,,,,,
575548000778,24-ส.ค.-48,"16,500,000.00 บาท",การผลิตอาหารสำเร็จรูปสำหรับเลี้ยงปศุสัตว์ในฟาร์ม,82.94%,-31.61%,"2,446,547,414.52","80,209,135.53"
,,,,,,,
575544000129,15-มี.ค.-44,"4,000,000.00 บาท",การผลิตผลิตภัณฑ์ยางอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1.67%,-49.20%,"8,020,240.33","115,579.34"
,,,,,,,
575558002722,16-ธ.ค.-58,"1,000,000.00 บาท",การแปรรูปและการถนอมผลไม้และผักด้วยวิธีอื่นๆซึ่งมิได้ จัดประเภทไว้ในที่อื่น,64.22%,-544.94%,"766,209.05","-5,567.63"
,,,,,,,
565532000056,11-เม.ย.-32,"15,000,000.00 บาท",การขายส่งข้าวและผลิตภัณฑ์ที่ได้จากการโรงสีข้าว,3.40%,24.85%,"111,450,867.71","642,245.90"
,,,,,,,
635546000192,11-ก.ย.-46,"10,000,000.00 บาท",ร้านขายปลีกเนื้อสัตว์และผลิตภัณฑ์เนื้อสัตว์,-100.00%,-100.00%,"4,562,141.99","61,788.48"
,,,,,,,
107557000497,30-ธ.ค.-57,"165,978,562.75 บาท",การผลิตผลิตภัณฑ์เครื่องเคลือบปอร์ซเลนและเซรามิกชนิดอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1.79%,-44.01%,"221,615,038.23","5,656,667.60"
,,,,,,,
525555000273,8-พ.ค.-55,"3,000,000.00 บาท",การผลิตผลิตภัณฑ์โลหะประดิษฐ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0.00%,0.00%,"6,805,789.38","215,524.72"
,,,,,,,
443560001893,6-ธ.ค.-60,"1,000,000.00 บาท",การก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,-100.00%,-100.00%,"1,628,093.15","48,459.98"
,,,,,,,
107547001008,22-ต.ค.-47,"400,000,000.00 บาท",การผลิตเครื่องประดับจากอัญมณีและโลหะมีค่า,0.00%,0.00%,"3,437,912.45","-6,297.00"
